"Distance [mm]","Voltage [V]"
3.053894,-0.0157152260643149
3.062956,-0.0276394900452618
3.072018,-0.0397100173365522
3.08108,-0.0519268079381849
3.090142,-0.0642898618501606
3.099204,-0.0767991790724781
3.108266,-0.089454759605139
3.117328,-0.102256603448142
3.12639,-0.115204710601487
3.135452,-0.128299081065176
3.144514,-0.141539714839208
3.153576,-0.154975442788394
3.162638,-0.169232789673459
3.1717,-0.183535742238945
3.180762,-0.197884300484852
3.189824,-0.212278464411179
3.198886,-0.226718234017925
3.207948,-0.241203609305093
3.21701,-0.255734590272681
3.226072,-0.27031117692069
3.235134,-0.284933369249118
3.244196,-0.299601167257967
3.253258,-0.314314570947237
3.26232,-0.329073580316926
3.271382,-0.343878195367036
3.280444,-0.358728416097567
3.289506,-0.373624242508518
3.298568,-0.388565674599888
3.30763,-0.40355271237168
3.316692,-0.417662441941615
3.325754,-0.431458496555388
3.334816,-0.445247874773622
3.343878,-0.459030576596319
3.35294,-0.472806602023477
3.362002,-0.486575951055097
3.371064,-0.500338623691179
3.380126,-0.514094619931723
3.389188,-0.527843939776729
3.39825,-0.541586583226197
3.407312,-0.555322550280125
3.416374,-0.569051840938517
3.425436,-0.58277445520137
3.434498,-0.596490393068684
3.44356,-0.610199654540461
3.452622,-0.6239022396167
3.461684,-0.637598148297401
3.470746,-0.651287380582563
3.479808,-0.664969936472187
3.48887,-0.678645815966273
3.497932,-0.692315019064821
3.506994,-0.70597754576783
3.516056,-0.719633396075302
3.525118,-0.733282569987236
3.53418,-0.746925067503631
3.543242,-0.760560888624488
3.552304,-0.774190033349807
3.561366,-0.787812501679588
3.570428,-0.80142829361383
3.57949,-0.815037409152534
3.588552,-0.828639848295701
3.597614,-0.842235611043329
3.606676,-0.855824697395419
3.615738,-0.869407107351971
3.6248,-0.882982840912985
3.633862,-0.89655189807846
3.642924,-0.910114278848397
3.651986,-0.923669983222797
3.661048,-0.937219011201658
3.67011,-0.950761362784981
3.679172,-0.964297037972765
3.688234,-0.977826036765011
3.697296,-0.99134835916172
3.706358,-1.00486400516289
3.71542,-1.01837297476852
3.724482,-1.03187526797862
3.733544,-1.04537088479317
3.742606,-1.05885982521219
3.751668,-1.07234208923567
3.76073,-1.08581767686361
3.769792,-1.09928658809601
3.778854,-1.11274882293288
3.787916,-1.12600034987685
3.796978,-1.13905853083654
3.80604,-1.15196009145286
3.815102,-1.16470503172582
3.824164,-1.17729335165542
3.833226,-1.18972505124165
3.842288,-1.20200013048453
3.85135,-1.21411858938404
3.860412,-1.22608042794019
3.869474,-1.23788564615298
3.878536,-1.24953424402241
3.887598,-1.26102622154847
3.89666,-1.27236157873118
3.905722,-1.28354031557052
3.914784,-1.2945624320665
3.923846,-1.30542792821911
3.932908,-1.31613680402837
3.94197,-1.32668905949426
3.951032,-1.3370846946168
3.960094,-1.34732370939597
3.969156,-1.35740610383178
3.978218,-1.36733187792422
3.98728,-1.37710103167331
3.996342,-1.38671356507903
4.005404,-1.39616947814139
4.014466,-1.40546877086039
4.023528,-1.41461144323603
4.03259,-1.42359749526831
4.041652,-1.43242692695722
4.050714,-1.44109973830277
4.059776,-1.44961592930496
4.068838,-1.45797549996379
4.0779,-1.46617845027926
4.086962,-1.47422478025136
4.096024,-1.48211448988011
4.105086,-1.48984757916549
4.114148,-1.49742404810751
4.12321,-1.50484389670616
4.132272,-1.51210712496146
4.141334,-1.51921373287339
4.150396,-1.52616372044197
4.159458,-1.53295708766718
4.16852,-1.53959383454903
4.177582,-1.54607396108751
4.186644,-1.5527798898722
4.195706,-1.55933198420475
4.204768,-1.56566459978265
4.21383,-1.57177773660589
4.222892,-1.57767139467446
4.231954,-1.58334557398837
4.241016,-1.58880027454762
4.250078,-1.59403549635221
4.25914,-1.59905123940214
4.268202,-1.6038475036974
4.277264,-1.60842428923801
4.286326,-1.61278159602395
4.295388,-1.61691942405523
4.30445,-1.62083777333185
4.313512,-1.62453664385381
4.322574,-1.6280160356211
4.331636,-1.63127594863374
4.340698,-1.63431638289171
4.34976,-1.63713733839502
4.358822,-1.63973881514367
4.367884,-1.64212081313766
4.376946,-1.64428333237699
4.386008,-1.64639280571264
4.39507,-1.64929535318425
4.404132,-1.65206052766541
4.413194,-1.65468832915611
4.422256,-1.657206247968
4.431318,-1.65975154703862
4.44038,-1.66210790665964
4.449442,-1.66427532683106
4.458504,-1.66625380755287
4.467566,-1.66804334882508
4.476628,-1.66964395064769
4.48569,-1.67105561302069
4.494752,-1.67179853125818
4.503814,-1.67219267581216
4.512876,-1.67240810993182
4.521938,-1.67244483361716
4.531,-1.67230284686818
4.540062,-1.67198214968489
4.549124,-1.67141338004598
4.558186,-1.67027496991179
4.567248,-1.66900222286481
4.57631,-1.66759513890505
4.585372,-1.66622997378266
4.594434,-1.66581143393691
4.603496,-1.66518140385686
4.612558,-1.6643398835425
4.62162,-1.66328687299384
4.630682,-1.66202237221087
4.639744,-1.66054638119359
4.648806,-1.65885889994201
4.657868,-1.65695992845612
4.66693,-1.65484946673592
4.675992,-1.65252751478142
4.685054,-1.64999407259261
4.694116,-1.64724914016949
4.703178,-1.64429271751207
4.71224,-1.64112480462034
4.721302,-1.6377454014943
4.730364,-1.63478914734828
4.739426,-1.63168625459305
4.748488,-1.62836470351862
4.75755,-1.62482449412501
4.766612,-1.62106562641221
4.775674,-1.61708810038022
4.784736,-1.61289191602904
4.793798,-1.60847707335867
4.80286,-1.60384357236911
4.811922,-1.59899141306036
4.820984,-1.59392059543243
4.830046,-1.5886311194853
4.839108,-1.58312298521899
4.84817,-1.57739619263349
4.857232,-1.57145074172879
4.866294,-1.56528663250491
4.875356,-1.55890386496184
4.884418,-1.55230243909959
4.89348,-1.54556845603779
4.902542,-1.53866879542275
4.911604,-1.53156939867743
4.920666,-1.5242702658018
4.929728,-1.51677139679588
4.93879,-1.50907279165967
4.947852,-1.50117445039316
4.956914,-1.49307637299635
4.965976,-1.48477855946925
4.975038,-1.47628417979223
4.9841,-1.46773585561629
4.993162,-1.45908085763687
5.002224,-1.45031918585397
5.011286,-1.44145084026759
5.020348,-1.43247582087773
5.02941,-1.42339412768439
5.038472,-1.41420576068757
5.047534,-1.40491071988727
5.056596,-1.3955090052835
5.065658,-1.38600061687624
5.07472,-1.3763855546655
5.083782,-1.36666381865128
5.092844,-1.35683540883359
5.101906,-1.34690032521241
5.110968,-1.33685856778776
5.12003,-1.32671013655962
5.129092,-1.316455031528
5.138154,-1.30609325269291
5.147216,-1.29562480005434
5.156278,-1.28504967361228
5.16534,-1.27436787336675
5.174402,-1.26357939931774
